match_id,date,team1,team2,winner,h2h_winrate,h2h_matches,team1_elo,team1_last5_wr,team1_avg_acs,team1_avg_rating,team1_avg_kast,team1_avg_adr,team1_avg_fk,team1_avg_fd,team2_elo,team2_last5_wr,team2_avg_acs,team2_avg_rating,team2_avg_kast,team2_avg_adr,team2_avg_fk,team2_avg_fd,elo_diff,last5_wr_diff,avg_acs_diff,avg_rating_diff,avg_kast_diff,avg_adr_diff,avg_fk_diff,avg_fd_diff
167348,2023-02-14 01:10:00,KOI,NRG,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167349,2023-02-14 04:05:00,DetonatioN FocusMe,Giants Gaming,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167351,2023-02-15 01:10:00,FunPlus Phoenix,Karmine Corp,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167352,2023-02-15 04:45:00,BBL Esports,KIWOOM DRX,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167353,2023-02-15 08:05:00,Cloud9,Paper Rex,1,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167354,2023-02-16 01:00:00,Team Heretics,Evil Geniuses,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167355,2023-02-16 03:35:00,MIBR,TALON,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167350,2023-02-16 06:20:00,Gen.G,LOUD,0,0.5,0,1500.0,0.5,,,,,,,1500.0,0.5,,,,,,,0.0,0.0,,,,,,
167356,2023-02-18 01:05:00,NRG,Giants Gaming,1,0.5,0,1516.0,1.0,196.2,1.1,76.9,126.6,3.0,1.6,1516.0,1.0,217.8,1.27,84.2,148.8,2.2,1.5,0.0,0.0,-21.600000000000023,-0.16999999999999993,-7.299999999999997,-22.200000000000017,0.7999999999999998,0.10000000000000009
167357,2023-02-18 04:35:00,LOUD,Karmine Corp,1,0.5,0,1516.0,1.0,208.5,1.06,72.7,139.9,2.4,2.4,1516.0,1.0,211.33,1.09,74.47,131.87,2.73,1.2,0.0,0.0,-2.8300000000000125,-0.030000000000000027,-1.769999999999996,8.030000000000001,-0.33000000000000007,1.2
167358,2023-02-19 01:05:00,KIWOOM DRX,Cloud9,1,0.5,0,1516.0,1.0,220.27,1.18,81.47,142.73,2.27,1.73,1516.0,1.0,231.4,1.25,86.5,148.8,2.2,1.6,0.0,0.0,-11.129999999999995,-0.07000000000000006,-5.030000000000001,-6.070000000000022,0.06999999999999984,0.1299999999999999
167359,2023-02-19 04:00:00,Evil Geniuses,TALON,0,0.5,0,1516.0,1.0,221.5,1.13,80.1,140.4,2.3,1.9,1516.0,1.0,214.0,1.01,71.4,137.1,2.2,2.3,0.0,0.0,7.5,0.11999999999999988,8.699999999999989,3.3000000000000114,0.09999999999999964,-0.3999999999999999
167360,2023-02-20 01:05:00,NRG,LOUD,0,0.5,0,1532.0,1.0,206.0,1.115,79.11500000000001,133.1,2.635,1.7000000000000002,1532.0,1.0,207.1,1.06,73.6,138.75,2.5,2.1,0.0,0.0,-1.0999999999999943,0.05499999999999994,5.515000000000015,-5.650000000000006,0.1349999999999998,-0.3999999999999999
